Unnamed: 0,accident_date,aircraft_type,registration,operator,fatalities,location,damage_severity,manufacturer
1202,10 Oct 2018,Sukhoi Superjet 100-95B,RA-89011,Yakutia Airlines,0.0,Yakutsk Airport (YKS),Sub,Sukhoi
1203,11 Oct 2018,Boeing 737-7H4 (WL),N734SA,Southwest Airlines,0.0,"San Jose, California",Non,Boeing
1204,12 Oct 2018,Airbus A319-112,N926FR,Frontier Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",Non,Airbus
1205,12 Oct 2018,ATR 72-202,5N-BPE,Overland Airways,0.0,Lagos-Murtala Muhammed International Airport (LOS),W/O,Atr
1206,12 Oct 2018,Boeing 737-8HG (WL),VT-AYD,Air India Express,0.0,Tiruchirappalli-Civil Airport (TRZ),Sub,Boeing
1207,15 Oct 2018,Boeing 737-7L9 (WL),N7816B,Southwest Airlines,0.0,"Albany, New York",Non,Boeing
1208,15 Oct 2018,Boeing 777-337ER,VT-ALN,Air India,0.0,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB),Non,Boeing
1209,29 Oct 2018,Boeing 737 MAX 8,PK-LQP,Lion Air,189.0,15 km N off Tanjung Bungin,W/O,Boeing
1210,31 Oct 2018,Airbus A330-323,N817NW,Delta Air Lines,0.0,Paris-Charles de Gaulle Airport (CDG),Sub,Airbus
1211,31 Oct 2018,Airbus A330-203,F-GZCI,Air France,0.0,Paris-Charles de Gaulle Airport (CDG),Sub,Airbus
1212,7 Nov 2018,Boeing 747-412F,N908AR,Sky Lease Cargo,0.0,"Halifax-Stanfield International Airport, NS (YHZ/CYHZ)",Sub,Boeing
1213,8 Nov 2018,Antonov An-2R,RA-84674,2nd Arkhangelsk United Aviation Division,0.0,50 km NE of Arkhangelsk-Talaghy Airport (ARH),W/O,Antonov
1214,9 Nov 2018,Lockheed C-130E Hercules,4180,Pakistan Air Force,0.0,Chaklala-PAF Base Nur Khan (RWP),W/O,Lockheed
1215,9 Nov 2018,Boeing 757-23N,N524AT,Fly Jamaica Airways,1.0,Georgetown-Cheddi Jagan International Airport (GEO),Sub,Boeing
1216,11 Nov 2018,Embraer ERJ-190LR (ERJ-190-100 LR),P4-KCJ,Air Astana,0.0,NE of Lisbon,Sub,Embraer
